legacyRegister,legacyNotation,legacyLabel,legacyURI,legacyDescription,disposition,proposedNotation,proposedLabel,mappingRelation,reviewStatus,targetVocabulary,rationale
Atmosphere,60,(Ultra)sonic anemometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/60,,merge,acousticTransitTimeVelocimetry,Acoustic transit-time velocimetry,close,discussion needed,ObservingMethod,Sonic/ultrasonic anemometers infer fluid velocity from acoustic travel times; same physical principle is used in water.
Atmosphere,79,Brewer-GDR,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/79,,merge,potassiumIodideElectrochemicalOzoneMeasurement,Potassium-iodide electrochemical ozone measurement,close,discussion needed,ObservingMethod,Legacy ozonesonde type uses the ozone–potassium-iodide electrochemical reaction; hardware variant belongs in instrument metadata.
Atmosphere,80,Brewer-Mast Sonde,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/80,,merge,potassiumIodideElectrochemicalOzoneMeasurement,Potassium-iodide electrochemical ozone measurement,close,discussion needed,ObservingMethod,Legacy ozonesonde type uses the ozone–potassium-iodide electrochemical reaction; hardware variant belongs in instrument metadata.
Atmosphere,84,Carbon-Iodine Sonde (KC Sonde),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/84,,merge,potassiumIodideElectrochemicalOzoneMeasurement,Potassium-iodide electrochemical ozone measurement,close,discussion needed,ObservingMethod,Legacy ozonesonde type uses the ozone–potassium-iodide electrochemical reaction; hardware variant belongs in instrument metadata.
Atmosphere,94,Conductometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/94,,merge,electricalConductivityMeasurement,Electrical conductivity measurement,exact,non-controversial,ObservingMethod,Conductometry is the same electrical-conductivity measurement principle as atmosphere 110 and ocean 404.
Atmosphere,95,Cup anemometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/95,,merge,rotatingCupVelocityMeasurement,Rotating-cup velocity measurement,close,discussion needed,ObservingMethod,Cup count/geometry is an instrument characteristic; the physical velocity-measurement principle is shared.
Atmosphere,96,Cup anemometer (3 or 4 cups),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/96,,merge,rotatingCupVelocityMeasurement,Rotating-cup velocity measurement,close,discussion needed,ObservingMethod,Cup count/geometry is an instrument characteristic; the physical velocity-measurement principle is shared.
Atmosphere,106,Dobson,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/106,,merge,differentialUltravioletAbsorptionSpectrophotometry,Differential ultraviolet absorption spectrophotometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,110,Electric conductivity (EC meter),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/110,,merge,electricalConductivityMeasurement,Electrical conductivity measurement,exact,non-controversial,ObservingMethod,Same method as conductometry/electrical conductivity entries in the atmosphere and ocean lists.
Atmosphere,111,Electronic pressure transducer (silicon diaphragm),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/111,,merge,piezoresistivePressureMeasurement,Piezoresistive pressure measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,135,Indian Sonde,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/135,,merge,potassiumIodideElectrochemicalOzoneMeasurement,Potassium-iodide electrochemical ozone measurement,close,discussion needed,ObservingMethod,Legacy ozonesonde type uses the ozone–potassium-iodide electrochemical reaction; hardware variant belongs in instrument metadata.
Atmosphere,144,Liquid-in-glass thermometer (mercury-free),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/144,,merge,liquidColumnThermometry,Liquid-column thermometry,exact,non-controversial,ObservingMethod,Same principle as the ocean fluid-column thermometry entry; mercury is represented separately.
Atmosphere,149,Mercury-in-glass thermometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/149,,merge,mercuryColumnThermometry,Mercury-column thermometry,exact,non-controversial,ObservingMethod,Same principle as the ocean mercury-based thermometry entry.
Atmosphere,151,Microtops,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/151,,merge,sunPhotometry,Sun photometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,152,Microtops,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/152,,merge,sunPhotometry,Sun photometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,153,Microtops,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/153,,merge,sunPhotometry,Sun photometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,154,Microwave profiler,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/154,,merge,microwaveRadiometry,Microwave radiometry,close,discussion needed,ObservingMethod,Duplicate/near-duplicate instrument and method entries use the same microwave-radiometric principle.
Atmosphere,155,Microwave radiometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/155,,merge,microwaveRadiometry,Microwave radiometry,exact,non-controversial,ObservingMethod,Duplicate/near-duplicate instrument and method entries use the same microwave-radiometric principle.
Atmosphere,156,Microwave radiometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/156,,merge,microwaveRadiometry,Microwave radiometry,exact,non-controversial,ObservingMethod,Duplicate/near-duplicate instrument and method entries use the same microwave-radiometric principle.
