uri,notation,label,description,reviewStatus,definitionStatus,sourceStatus,legacyDomains,legacyMappings,legacyLabels,notes
http://codes.wmo.int/wmdr/ObservingMethod/acousticDopplerVelocityProfiling,acousticDopplerVelocityProfiling,Acoustic-Doppler velocity profiling,Determination of velocity as a function of distance or depth from Doppler shifts of returned acoustic signals.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:368,Acoustic doppler current profiler (ADCP),
http://codes.wmo.int/wmdr/ObservingMethod/acousticThermometry,acousticThermometry,Acoustic thermometry,Determination of temperature from an acoustic property such as the speed of sound.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:195,Sonic thermometer,
http://codes.wmo.int/wmdr/ObservingMethod/acousticTransitTimeVelocimetry,acousticTransitTimeVelocimetry,Acoustic transit-time velocimetry,Determination of fluid velocity from differences in acoustic travel time along one or more propagation paths.,discussion needed,drafted,legacy-derived,Atmosphere; Terrestrial,Atmosphere:60; Terrestrial:367,(Ultra)sonic anemometer; Acoustic (ultrasonic) velocity meter,Consolidates 2 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/aerodynamicParticleSizing,aerodynamicParticleSizing,Aerodynamic particle sizing,Determination of particle size from aerodynamic response to an accelerating or classified flow.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:227,Aerodynamic particle sizing spectrometer (APS),
http://codes.wmo.int/wmdr/ObservingMethod/aerosolMassSpectrometry,aerosolMassSpectrometry,Aerosol mass spectrometry,Mass-spectrometric determination of the composition or mass distribution of aerosol particles.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:217,Aerodyne mass spectrometer (AMS),
http://codes.wmo.int/wmdr/ObservingMethod/amperometry,amperometry,Amperometry,Electrochemical determination based on measurement of electrical current at a controlled electrode potential.,discussion needed,drafted,missing-candidate,,,,General electrochemical method useful beyond the existing oxygen-specific polarographic entry.
http://codes.wmo.int/wmdr/ObservingMethod/anemometry,anemometry,Anemometry,"Measurement of fluid velocity, particularly wind speed.",discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:65,Anemometer [general],
http://codes.wmo.int/wmdr/ObservingMethod/atmometricEvaporationMeasurement,atmometricEvaporationMeasurement,Atmometric evaporation measurement,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:68,Atmometer,
http://codes.wmo.int/wmdr/ObservingMethod/atmosphericRadioNoiseDetection,atmosphericRadioNoiseDetection,Atmospheric radio-noise detection,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:69,Atmospherics ('sferics') detection,
http://codes.wmo.int/wmdr/ObservingMethod/automatedImageClassification,automatedImageClassification,Automated image classification,Determination of an observed class or category from algorithmic analysis of image data.,discussion needed,drafted,missing-candidate,,,,"Candidate for automated cloud, weather, phenology, biological and surface observations; boundary with processing methods needs discussion."
http://codes.wmo.int/wmdr/ObservingMethod/bimetallicActinography,bimetallicActinography,Bimetallic actinography,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:263,Bimetallic actinograph,
http://codes.wmo.int/wmdr/ObservingMethod/bioacousticDetection,bioacousticDetection,Bioacoustic detection,Detection or characterization of organisms or biological activity from emitted or reflected acoustic signals.,discussion needed,drafted,missing-candidate,,,,Candidate biological observation method.
http://codes.wmo.int/wmdr/ObservingMethod/broadbandTotalRadiometry,broadbandTotalRadiometry,Broadband total radiometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:180,"Pyrradiometer (total global, UV+IR)",
http://codes.wmo.int/wmdr/ObservingMethod/campbellStokesBurnMethod,campbellStokesBurnMethod,Campbell–Stokes burn method,Sunshine duration is determined by evaluating the burnt areas imprinted by the sun in a strip of carton or aluminum foil placed behind a glass sphere.,discussion needed,inherited,legacy-derived,Atmosphere,Atmosphere:415,Campbell-Stokes burn method,
http://codes.wmo.int/wmdr/ObservingMethod/capacitivePrecipitationDetection,capacitivePrecipitationDetection,Capacitive precipitation detection,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:82,Capacitive rain sensor,
http://codes.wmo.int/wmdr/ObservingMethod/capacitivePressureMeasurement,capacitivePressureMeasurement,Capacitive pressure measurement,Determination of pressure from pressure-induced changes in electrical capacitance.,discussion needed,drafted,missing-candidate,,,,Common pressure-transduction principle not explicit in the current lists.
http://codes.wmo.int/wmdr/ObservingMethod/chemiluminescenceDetection,chemiluminescenceDetection,Chemiluminescence detection,Detection based on light emitted by a chemical reaction.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:186; Atmosphere:270; Atmosphere:287; Atmosphere:288; Atmosphere:289; Atmosphere:290; Atmosphere:291,Regener Sonde (chemiluminescence); Tetrachloromercurate (TCM) absorption - CL; Catalytic conversion 'Au' - CL; Catalytic conversion 'Fe' - CL; Catalytic conversion 'Mb' - CL; Chemiluminescence (CL) [general]; Photolytic conversion - CL,"Consolidates 7 legacy entries. Legacy dispositions: rename, split."
http://codes.wmo.int/wmdr/ObservingMethod/cloudCondensationNucleiCounting,cloudCondensationNucleiCounting,Cloud-condensation-nuclei counting,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:231,Cloud condensation nuclei (CCN) counter,
http://codes.wmo.int/wmdr/ObservingMethod/colorimetryANSA,colorimetryANSA,ANSA colorimetry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:271,Colorimetry (ANSA),
http://codes.wmo.int/wmdr/ObservingMethod/colorimetryNEDA,colorimetryNEDA,NEDA colorimetry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:275,Colorimetry (NEDA),
http://codes.wmo.int/wmdr/ObservingMethod/compositeRadiosondeTracking,compositeRadiosondeTracking,Composite radiosonde tracking,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:330,Radiosonde with composite method tracking,
